Feature,Mutual_Info,RF_Importance,RFE_Rank_Inverted,MI_Norm,RF_Norm,RFE_Norm,Combined_Score
city_development_index,0.07045720126211585,0.12657526286394818,40,0.9133564711899492,1.0,1.0,0.971118823729983
city_experience_interaction,0.07714096684542238,0.08961559400200175,35,1.0,0.704393496558315,0.875,0.859797832186105
city_development_group_Very High,0.040337627677709875,0.03113693398475047,39,0.5229079868617638,0.23667631331663755,0.9750000000000001,0.5781947667261338
experience_numeric,0.019564084265000004,0.04327560956969187,36,0.2536147142698271,0.33376244954476675,0.9,0.49579238793819796
unknown_company_info_flag,0.02494361657226607,0.02640194126934939,37,0.32335110113733617,0.19880544803237943,0.925,0.4823855163899052
company_known_flag,0.03147516721546939,0.03188639322146189,30,0.4080214249652895,0.24267055058277381,0.75,0.4668973251826878
company_type_Unknown,0.02611594454261512,0.021590287108829886,32,0.33854831758781445,0.16032143813838762,0.8,0.43295658524206737
city_development_group_Medium,0.04345686137292004,0.03322480294173501,19,0.5633434885512951,0.25337526276675265,0.47500000000000003,0.430572917106016
training_hours,0.0,0.10544768095376338,12,0.0,0.8310198438742554,0.30000000000000004,0.3770066146247519
experience_to_training_ratio,0.009335071219252145,0.10979500507693939,4,0.12101314776048983,0.8657901035370221,0.1,0.36226775043250403
major_discipline_Unknown,0.0,0.010630023161985748,38,0.0,0.07266033613483652,0.9500000000000001,0.34088677871161216
last_new_job_numeric,0.001753477858427388,0.03658159178451321,25,0.02273082552803707,0.2802231389290681,0.625,0.3093179881523684
company_type_Other,0.0036290773774123597,0.0015453043493935412,34,0.04704474841084667,0.0,0.8500000000000001,0.2990149161369489
company_type_Public Sector,0.000655866857844245,0.005620321542487058,33,0.008502186123211195,0.03259232620331668,0.8250000000000001,0.2886981707755093
company_type_Funded Startup,0.008799926778212619,0.004435709481200603,29,0.11407592020263635,0.023117700478726404,0.7250000000000001,0.28739787356045426
education_rank,0.004062558909460945,0.03674612187691661,20,0.0526640911514842,0.28153906428294434,0.5,0.2780677184781428
is_currently_enrolled,0.010619935153816318,0.017388001256839085,22,0.13766919949417922,0.12671120662334145,0.55,0.2714601353725069
company_type_Pvt Ltd,0.015727928491141796,0.02039806100417732,18,0.20388555049689666,0.1507859146621179,0.45,0.2682238217196715
low_city_development_flag,0.008128369072076369,0.005883774278912346,26,0.10537032920995486,0.0346994430859846,0.65,0.26335659076531315
gender_Male,0.005798950951548587,0.015358208652250547,24,0.0751734284478015,0.11047675666667565,0.6000000000000001,0.2618833950381591
gender_Other,0.00032318921374030474,0.002159569731523748,31,0.004189592468913723,0.004912945580628186,0.775,0.26136751268318065
company_size_numeric,0.01958818640093929,0.041536729260427556,8,0.25392715702138846,0.31985474030512967,0.2,0.2579272991088393
major_discipline_Other,0.0,0.002523679474838915,28,0.0,0.007825125570456636,0.7000000000000001,0.2359417085234856
job_mobility_score,0.01285028070212979,0.06096073267869154,2,0.1665817947016351,0.4752095340604427,0.05,0.23059710958735927
major_discipline_Business Degree,0.0,0.0026359919827607533,27,0.0,0.008723410343611734,0.675,0.22790780344787057
gender_Unknown,0.0,0.01400487402995749,23,0.0,0.09965267387586584,0.5750000000000001,0.22488422462528865
experience_group_Fresher,0.009682375305261504,0.0029198734463930236,16,0.12551534808558165,0.01099391788440424,0.4,0.1788364219899953
major_discipline_No Major,1.5670875666007333e-05,0.0016460200856110389,21,0.00020314595871489597,0.0008055328292040781,0.525,0.17533622626263967
major_discipline_STEM,0.00033136216793150375,0.011678178307413037,17,0.004295540767534042,0.08104356810483893,0.42500000000000004,0.170113036290791
has_relevant_experience_binary,0.009942056161829083,0.016275924296023727,9,0.1288816638991744,0.11781672266103652,0.225,0.1572327955200703
experience_group_Junior,0.0,0.004985065671489784,15,0.0,0.02751149694811602,0.375,0.13417049898270533
experience_group_Mid,0.0,0.005518470436376481,14,0.0,0.03177771259134207,0.35000000000000003,0.12725923753044735
training_hours_group_Low,0.0,0.008596830597440576,13,0.0,0.05639869301585165,0.325,0.12713289767195055
high_training_flag,0.0037810130339235304,0.006642034770607357,10,0.04901433296136992,0.04076407352099144,0.25,0.11325946882745379
training_hours_group_Very High,0.0007110734670154883,0.007792244646881166,11,0.00921784488960789,0.049963547710530694,0.275,0.11139379753337954
city_development_group_Low,0.006294697341994171,0.006650737631384394,7,0.08159992802018795,0.04083367972481997,0.17500000000000002,0.09914453591500265
company_type_NGO,0.00792350646368778,0.0033439059737742625,6,0.10271463773023695,0.014385365281644458,0.15000000000000002,0.08903333433729381
senior_experience_flag,0.015310392617296165,0.005830965747957919,1,0.1984729157981081,0.034277076066257246,0.025,0.08591666395478846
training_hours_group_Medium,0.001697591869282311,0.011842565256057926,5,0.0220063597683965,0.0823583485830373,0.125,0.07645490278381127
major_discipline_Humanities,0.001951364945683709,0.004317609154965068,3,0.025296091369893234,0.022173124253646814,0.07500000000000001,0.04082307187451335
experience_group_Senior,0.004716566757518192,0.004601368438276888,0,0.06114217840916364,0.0244426545860814,0.0,0.02852827766508168
